X,Y,Z
0.38,0.12,-1.37
0.38,0.12,-1.36
0.37,0.12,-1.34
0.36,0.12,-1.33
0.35,0.12,-1.29
0.35,0.11,-1.28
0.34,0.11,-1.26
0.33,0.11,-1.25
0.32,0.09999999,-1.23
0.31,0.09999999,-1.2
0.3,0.09,-1.19
0.29,0.09,-1.17
0.28,0.09,-1.16
0.27,0.09,-1.14
0.25,0.09,-1.11
0.24,0.09,-1.1
0.24,0.09,-1.08
0.22,0.09999999,-1.07
0.22,0.09999999,-1.05
0.21,0.11,-1.02
0.2,0.11,-1.01
0.19,0.11,-0.9899999
0.19,0.11,-0.98
0.17,0.11,-0.97
0.16,0.11,-0.93
0.15,0.12,-0.92
0.14,0.12,-0.91
0.13,0.12,-0.89
0.13,0.13,-0.88
0.12,0.13,-0.85
0.11,0.13,-0.83
0.11,0.12,-0.82
0.09999999,0.12,-0.81
0.09999999,0.12,-0.79
0.09,0.12,-0.76
0.09,0.12,-0.74
0.08,0.12,-0.73
0.08,0.12,-0.71
0.08,0.12,-0.7
0.07,0.11,-0.67
0.07,0.11,-0.65
0.06,0.11,-0.63
0.06,0.09999999,-0.62
0.06,0.09999999,-0.6
0.05,0.09,-0.57
0.05,0.09,-0.55
0.05,0.09,-0.53
0.05,0.09,-0.51
0.04,0.09,-0.5
0.04,0.09,-0.47
0.04,0.09,-0.45
0.03,0.09,-0.43
0.03,0.09999999,-0.41
0.03,0.09999999,-0.39
0.02,0.09999999,-0.36
0.02,0.09999999,-0.35
0.02,0.09999999,-0.33
0.02,0.09999999,-0.32
0.02,0.09999999,-0.3
0.01,0.11,-0.27
0.01,0.11,-0.25
0.01,0.11,-0.24
0,0.11,-0.22
0,0.11,-0.21
-0.01,0.11,-0.18
-0.01,0.11,-0.17
-0.02,0.11,-0.16
-0.02,0.11,-0.14
-0.03,0.11,-0.13
-0.04,0.11,-0.09999999
-0.04,0.11,-0.09
-0.05,0.11,-0.08
-0.05,0.09999999,-0.06
-0.06,0.09999999,-0.05
-0.07,0.09999999,-0.02
-0.07,0.09,0
-0.08,0.09,0.01
-0.09,0.09,0.03
-0.09,0.09,0.04
-0.11,0.09,0.07
-0.12,0.09,0.09
-0.13,0.08,0.09999999
-0.13,0.08,0.12
-0.14,0.09,0.13
-0.16,0.09,0.16
-0.17,0.09999999,0.17
-0.18,0.09999999,0.19
-0.19,0.11,0.2
